Geneid	GeneSymbol	Class
668	gene668.1	9LdFY	pseudo gene
669	gene669.1	v54wZ	pseudo gene
670	gene670.1	IPCCH	pseudo gene
671	gene671.1	Z5kSb	pseudo gene
672	gene672.1	tiMOK	pseudo gene
673	gene673.1	ARFGf	pseudo gene
674	gene674.1	WchYU	pseudo gene
675	gene675.1	5ZIGv	pseudo gene
676	gene676.1	Jop6p	pseudo gene
677	gene677.1	pTNyU	pseudo gene
678	gene678.1	KnUrp	pseudo gene
679	gene679.1	FuCUI	pseudo gene
680	gene680.1	zeiAp	pseudo gene
681	gene681.1	ucpEK	pseudo gene
682	gene682.1	I0cPX	pseudo gene
683	gene683.1	pch3n	pseudo gene
684	gene684.1	ov0KM	pseudo gene
685	gene685.1	RFnor	pseudo gene
686	gene686.1	PMAZQ	pseudo gene
687	gene687.1	HbH72	pseudo gene
688	gene688.1	ypbmi	pseudo gene
689	gene689.1	4pAym	pseudo gene
690	gene690.1	t3kOA	pseudo gene
691	gene691.1	rRbtZ	pseudo gene
692	gene692.1	2knst	pseudo gene
693	gene693.1	7WxO9	pseudo gene
694	gene694.1	3WhaT	pseudo gene
695	gene695.1	vY2w1	pseudo gene
696	gene696.1	Y3R5N	pseudo gene
697	gene697.1	Unv7T	pseudo gene
698	gene698.1	tzzG8	pseudo gene
699	gene699.1	kfKgk	pseudo gene
700	gene700.1	6uirg	pseudo gene
701	gene701.1	stzN3	pseudo gene
702	gene702.1	w5FMp	pseudo gene
703	gene703.1	cPYOt	pseudo gene
704	gene704.1	CRA7a	pseudo gene
705	gene705.1	OhpBu	pseudo gene
706	gene706.1	Y18K5	pseudo gene
707	gene707.1	d22Jz	pseudo gene
708	gene708.1	RPBrh	pseudo gene
709	gene709.1	27bTE	pseudo gene
710	gene710.1	UaP1c	pseudo gene
711	gene711.1	3D6kw	pseudo gene
712	gene712.1	381IX	pseudo gene
713	gene713.1	OkWeF	pseudo gene
714	gene714.1	97ubY	pseudo gene
715	gene715.1	PoIbA	pseudo gene
716	gene716.1	Fdb19	pseudo gene
717	gene717.1	lKx7c	pseudo gene
718	gene718.1	JxYWE	pseudo gene
719	gene719.1	LJamu	pseudo gene
720	gene720.1	3NAPH	pseudo gene
721	gene721.1	fo5qd	pseudo gene
722	gene722.1	SwGgf	pseudo gene
723	gene723.1	iS26O	pseudo gene
724	gene724.1	153Mt	pseudo gene
725	gene725.1	ipMAb	pseudo gene
726	gene726.1	YUlnl	pseudo gene
727	gene727.1	rPwsb	pseudo gene
728	gene728.1	i0PVJ	pseudo gene
729	gene729.1	Ot2ok	pseudo gene
730	gene730.1	GGObG	pseudo gene
731	gene731.1	BFVdZ	pseudo gene
732	gene732.1	k3wmD	pseudo gene
733	gene733.1	0Fxuw	pseudo gene
734	gene734.1	fVak1	pseudo gene
735	gene735.1	ogFx8	pseudo gene
736	gene736.1	cniSv	pseudo gene
737	gene737.1	BiSUY	pseudo gene
738	gene738.1	fNZOy	pseudo gene
739	gene739.1	NLfY6	pseudo gene
740	gene740.1	SX4xM	pseudo gene
741	gene741.1	px5qe	pseudo gene
742	gene742.1	Zwb9q	pseudo gene
743	gene743.1	wf0Ty	pseudo gene
744	gene744.1	0mKcJ	pseudo gene
745	gene745.1	VbB0L	pseudo gene
746	gene746.1	xFDCQ	pseudo gene
747	gene747.1	9F3Cc	pseudo gene
748	gene748.1	lc5Gv	pseudo gene
749	gene749.1	qBYC3	pseudo gene
750	gene750.1	2yQs8	pseudo gene
751	gene751.1	Ex3Xl	pseudo gene
752	gene752.1	p4ccD	pseudo gene
753	gene753.1	GVEHy	pseudo gene
754	gene754.1	duq1v	pseudo gene
755	gene755.1	3FuIQ	pseudo gene
756	gene756.1	OAqxM	pseudo gene
757	gene757.1	QtrfP	pseudo gene
758	gene758.1	SO9UL	pseudo gene
759	gene759.1	15k28	pseudo gene
760	gene760.1	OJW28	pseudo gene
761	gene761.1	da3mi	pseudo gene
762	gene762.1	SrWWA	pseudo gene
763	gene763.1	2omcL	pseudo gene
764	gene764.1	OhJ1O	pseudo gene
765	gene765.1	WLE0T	pseudo gene
766	gene766.1	DoTnx	pseudo gene
767	gene767.1	QXSnQ	pseudo gene
768	gene768.1	SrGrs	pseudo gene
769	gene769.1	9mV1g	pseudo gene
770	gene770.1	7UJqr	pseudo gene
771	gene771.1	Ud0U0	pseudo gene
772	gene772.1	4sFPw	pseudo gene
773	gene773.1	KVc36	pseudo gene
774	gene774.1	58Zeg	pseudo gene
775	gene775.1	gDIJy	pseudo gene
776	gene776.1	X6OPr	pseudo gene
777	gene777.1	FQWsD	pseudo gene
778	gene778.1	AsYgR	pseudo gene
779	gene779.1	t3b7i	pseudo gene
780	gene780.1	2UFa9	pseudo gene
781	gene781.1	HKtly	pseudo gene
782	gene782.1	C7Z7x	pseudo gene
783	gene783.1	4OY4x	pseudo gene
784	gene784.1	59O4S	pseudo gene
785	gene785.1	bs1iP	pseudo gene
786	gene786.1	yRP3S	pseudo gene
787	gene787.1	AgmWt	pseudo gene
788	gene788.1	JlTEC	pseudo gene
789	gene789.1	Yq2Sa	pseudo gene
790	gene790.1	mtqSc	pseudo gene
791	gene791.1	Qb8Ht	pseudo gene
792	gene792.1	eAk9C	pseudo gene
793	gene793.1	kHbrF	pseudo gene
794	gene794.1	g6F6L	pseudo gene
795	gene795.1	GXU6p	pseudo gene
796	gene796.1	Ex28L	pseudo gene
797	gene797.1	dVM5N	pseudo gene
798	gene798.1	8PDZM	pseudo gene
799	gene799.1	qAj10	pseudo gene
800	gene800.1	7dtFL	pseudo gene
801	gene801.1	BTAFN	pseudo gene
802	gene802.1	AIbFM	pseudo gene
803	gene803.1	WwXqQ	pseudo gene
804	gene804.1	tQnOM	pseudo gene
805	gene805.1	7VeLJ	pseudo gene
806	gene806.1	NPial	pseudo gene
807	gene807.1	DteKc	pseudo gene
808	gene808.1	4GbvK	pseudo gene
809	gene809.1	uv8wG	pseudo gene
810	gene810.1	P0rgm	pseudo gene
811	gene811.1	A8Vb9	pseudo gene
812	gene812.1	SqKmt	pseudo gene
813	gene813.1	oosgH	pseudo gene
814	gene814.1	NFDEK	pseudo gene
815	gene815.1	Bvyzq	pseudo gene
816	gene816.1	jvWEF	pseudo gene
817	gene817.1	5JInW	pseudo gene
818	gene818.1	FylKC	pseudo gene
819	gene819.1	HqxMC	pseudo gene
820	gene820.1	tjTDd	pseudo gene
821	gene821.1	JkyoS	pseudo gene
822	gene822.1	1frAa	pseudo gene
823	gene823.1	CRSBk	pseudo gene
824	gene824.1	itwud	pseudo gene
825	gene825.1	eUsJe	pseudo gene
826	gene826.1	AWuoC	pseudo gene
827	gene827.1	mp8Dl	pseudo gene
828	gene828.1	DQdie	pseudo gene
829	gene829.1	rHixh	pseudo gene
830	gene830.1	RzdnU	pseudo gene
831	gene831.1	VBVhz	pseudo gene
832	gene832.1	FAVav	pseudo gene
833	gene833.1	og3X6	pseudo gene
834	gene834.1	7xexU	pseudo gene
835	gene835.1	pAgUP	pseudo gene
836	gene836.1	Kd5Mx	pseudo gene
837	gene837.1	lTW2i	pseudo gene
838	gene838.1	CKvmb	pseudo gene
839	gene839.1	0K4hh	pseudo gene
840	gene840.1	kG08E	pseudo gene
841	gene841.1	UtVne	pseudo gene
842	gene842.1	zxFk3	pseudo gene
843	gene843.1	LRWVg	pseudo gene
844	gene844.1	p8EQ5	pseudo gene
845	gene845.1	IyMx3	pseudo gene
846	gene846.1	2uGdF	pseudo gene
847	gene847.1	Lygii	pseudo gene
848	gene848.1	iHuNu	pseudo gene
849	gene849.1	cj853	pseudo gene
850	gene850.1	YCYOJ	pseudo gene
851	gene851.1	jV5Xz	pseudo gene
852	gene852.1	OGZa8	pseudo gene
853	gene853.1	h5sHL	pseudo gene
854	gene854.1	6L7o1	pseudo gene
855	gene855.1	7WV34	pseudo gene
856	gene856.1	CTOag	pseudo gene
857	gene857.1	sfjAs	pseudo gene
858	gene858.1	Dqtk2	pseudo gene
859	gene859.1	fMk7N	pseudo gene
860	gene860.1	5Bpfu	pseudo gene
861	gene861.1	ERO3R	pseudo gene
862	gene862.1	89Ivt	pseudo gene
863	gene863.1	LNYsk	pseudo gene
864	gene864.1	y0Nqw	pseudo gene
865	gene865.1	prgCy	pseudo gene
866	gene866.1	PkDCb	pseudo gene
867	gene867.1	E19IQ	pseudo gene
868	gene868.1	tR7Ka	pseudo gene
869	gene869.1	uvw29	pseudo gene
870	gene870.1	b1JJI	pseudo gene
871	gene871.1	OK3Sq	pseudo gene
872	gene872.1	iSbs3	pseudo gene
873	gene873.1	QBxr7	pseudo gene
874	gene874.1	dUqsU	pseudo gene
875	gene875.1	MKcZw	pseudo gene
876	gene876.1	AAdIK	pseudo gene
877	gene877.1	IKYl0	pseudo gene
878	gene878.1	Q2AEB	pseudo gene
879	gene879.1	5dWlS	pseudo gene
880	gene880.1	1wf2g	pseudo gene
881	gene881.1	fOu9c	pseudo gene
882	gene882.1	nE2v6	pseudo gene
883	gene883.1	tvBvq	pseudo gene
884	gene884.1	C46fk	pseudo gene
885	gene885.1	yEyg4	pseudo gene
886	gene886.1	v6dGw	pseudo gene
887	gene887.1	SxFqN	pseudo gene
888	gene888.1	mlUKi	pseudo gene
889	gene889.1	WeysV	pseudo gene
890	gene890.1	QJwaO	pseudo gene
891	gene891.1	KLABk	pseudo gene
892	gene892.1	jRLzc	pseudo gene
893	gene893.1	vEhvN	pseudo gene
894	gene894.1	JXUgn	pseudo gene
895	gene895.1	40R3e	pseudo gene
896	gene896.1	0C0G0	pseudo gene
897	gene897.1	mD77F	pseudo gene
898	gene898.1	lbIZq	pseudo gene
899	gene899.1	dpgqe	pseudo gene
900	gene900.1	qimee	pseudo gene
901	gene901.1	LSY7P	pseudo gene
902	gene902.1	k7mFa	pseudo gene
903	gene903.1	c3RKK	pseudo gene
904	gene904.1	aLgZ9	pseudo gene
905	gene905.1	WPfRj	pseudo gene
906	gene906.1	TuTP2	pseudo gene
907	gene907.1	CFN3A	pseudo gene
908	gene908.1	XBhHE	pseudo gene
909	gene909.1	fqpW1	pseudo gene
910	gene910.1	Fuxla	pseudo gene
911	gene911.1	0Hmm4	pseudo gene
912	gene912.1	bLpAq	pseudo gene
913	gene913.1	4SeXq	pseudo gene
914	gene914.1	LUh2U	pseudo gene
915	gene915.1	rByFa	pseudo gene
916	gene916.1	tz01H	pseudo gene
917	gene917.1	63Q8Y	pseudo gene
918	gene918.1	pYpHz	pseudo gene
919	gene919.1	BZHa3	pseudo gene
920	gene920.1	hIbTn	pseudo gene
921	gene921.1	z6TYi	pseudo gene
922	gene922.1	97kpz	pseudo gene
923	gene923.1	5SI0M	pseudo gene
924	gene924.1	5kgDl	pseudo gene
925	gene925.1	OBgNz	pseudo gene
926	gene926.1	xi8He	pseudo gene
927	gene927.1	iy1m3	pseudo gene
928	gene928.1	PG1f3	pseudo gene
929	gene929.1	oUdHU	pseudo gene
930	gene930.1	K95SF	pseudo gene
931	gene931.1	5MhGC	pseudo gene
932	gene932.1	vucNA	pseudo gene
933	gene933.1	6ktw5	pseudo gene
934	gene934.1	QHI3f	pseudo gene
935	gene935.1	3omYr	pseudo gene
936	gene936.1	ehYTs	pseudo gene
937	gene937.1	wR3lZ	pseudo gene
938	gene938.1	HRDLm	pseudo gene
939	gene939.1	oLRid	pseudo gene
940	gene940.1	w9V0B	pseudo gene
941	gene941.1	FQ9tb	pseudo gene
942	gene942.1	lSHZu	pseudo gene
943	gene943.1	Mvv8B	pseudo gene
944	gene944.1	XDjGj	pseudo gene
945	gene945.1	G5LgV	pseudo gene
946	gene946.1	Bt8ek	pseudo gene
947	gene947.1	4er5q	pseudo gene
948	gene948.1	jdaWv	pseudo gene
949	gene949.1	dqQ0W	pseudo gene
950	gene950.1	tdbvi	pseudo gene
951	gene951.1	tfrcE	pseudo gene
952	gene952.1	PSWFC	pseudo gene
953	gene953.1	0J3Zt	pseudo gene
954	gene954.1	ueJSw	pseudo gene
955	gene955.1	vDbX2	pseudo gene
956	gene956.1	GJGry	pseudo gene
957	gene957.1	th7eA	pseudo gene
958	gene958.1	mJ37U	pseudo gene
959	gene959.1	FiZFd	pseudo gene
960	gene960.1	gVd3C	pseudo gene
961	gene961.1	gNdZL	pseudo gene
962	gene962.1	vPU4M	pseudo gene
963	gene963.1	1Uzis	pseudo gene
964	gene964.1	LEQNN	pseudo gene
965	gene965.1	T7IlK	pseudo gene
966	gene966.1	sl3Wm	pseudo gene
967	gene967.1	yS6bG	pseudo gene
968	gene968.1	Y4Ur1	pseudo gene
969	gene969.1	zXRpY	pseudo gene
970	gene970.1	bEqi2	pseudo gene
971	gene971.1	ELsGs	pseudo gene
972	gene972.1	6hIW6	pseudo gene
973	gene973.1	OfhLQ	pseudo gene
974	gene974.1	MUsFT	pseudo gene
975	gene975.1	fNilD	pseudo gene
976	gene976.1	ytA40	pseudo gene
977	gene977.1	jA2Es	pseudo gene
978	gene978.1	Fri5q	pseudo gene
979	gene979.1	0El4W	pseudo gene
980	gene980.1	QrirM	pseudo gene
981	gene981.1	z8yTw	pseudo gene
982	gene982.1	onR9q	pseudo gene
983	gene983.1	cBVsM	pseudo gene
984	gene984.1	n5khb	pseudo gene
985	gene985.1	T8qUH	pseudo gene
986	gene986.1	wEdEu	pseudo gene
987	gene987.1	22AVx	pseudo gene
988	gene988.1	NtfHj	pseudo gene
989	gene989.1	KrkFC	pseudo gene
990	gene990.1	to3Ij	pseudo gene
991	gene991.1	n5he0	pseudo gene
992	gene992.1	5QRA9	pseudo gene
993	gene993.1	qQZT6	pseudo gene
994	gene994.1	IpQ4y	pseudo gene
995	gene995.1	bqzna	pseudo gene
996	gene996.1	xRmw7	pseudo gene
997	gene997.1	lZ95p	pseudo gene
998	gene998.1	Q3Ib6	pseudo gene
999	gene999.1	8JjW8	pseudo gene
1000	gene1000.1	evn9b	pseudo gene
1001	gene1001.1	9ZRTR	pseudo gene
1002	gene1002.1	8jwQw	pseudo gene
1003	gene1003.1	xB0Cv	pseudo gene
1004	gene1004.1	r9ls9	pseudo gene
1005	gene1005.1	x4lrp	pseudo gene
1006	gene1006.1	TDUB2	pseudo gene
1007	gene1007.1	T5RXV	pseudo gene
1008	gene1008.1	1Nigt	pseudo gene
1009	gene1009.1	jK3H8	pseudo gene
1010	gene1010.1	shUQU	pseudo gene
1011	gene1011.1	fn54x	pseudo gene
1012	gene1012.1	bERce	pseudo gene
1013	gene1013.1	Ln7wV	pseudo gene
1014	gene1014.1	ZmWmv	pseudo gene
1015	gene1015.1	FNOM2	pseudo gene
1016	gene1016.1	BYqa0	pseudo gene
1017	gene1017.1	4cw3s	pseudo gene
1018	gene1018.1	u02Cr	pseudo gene
1019	gene1019.1	5XmLq	pseudo gene
1020	gene1020.1	oaazv	pseudo gene
1021	gene1021.1	wA4oH	pseudo gene
1022	gene1022.1	2MmKg	pseudo gene
1023	gene1023.1	QkCiU	pseudo gene
1024	gene1024.1	WxDD8	pseudo gene
1025	gene1025.1	g78V2	pseudo gene
1026	gene1026.1	93IIM	pseudo gene
1027	gene1027.1	gPUAL	pseudo gene
1028	gene1028.1	0vxmR	pseudo gene
1029	gene1029.1	N38E4	pseudo gene
1030	gene1030.1	1kbCy	pseudo gene
1031	gene1031.1	PB69w	pseudo gene
1032	gene1032.1	2CL8j	pseudo gene
1033	gene1033.1	hXl02	pseudo gene
1034	gene1034.1	gLGrJ	pseudo gene
1035	gene1035.1	nymaZ	pseudo gene
1036	gene1036.1	e6Mch	pseudo gene
1037	gene1037.1	t8AXQ	pseudo gene
1038	gene1038.1	BYkzD	pseudo gene
1039	gene1039.1	KXBhr	pseudo gene
1040	gene1040.1	gYtxb	pseudo gene
1041	gene1041.1	V4fWH	pseudo gene
1042	gene1042.1	0oroZ	pseudo gene
1043	gene1043.1	FPE1C	pseudo gene
1044	gene1044.1	AxBBK	pseudo gene
1045	gene1045.1	zeK95	pseudo gene
1046	gene1046.1	nbpht	pseudo gene
1047	gene1047.1	nYE2M	pseudo gene
1048	gene1048.1	V4SMA	pseudo gene
1049	gene1049.1	dwcrW	pseudo gene
1050	gene1050.1	UY2il	pseudo gene
1051	gene1051.1	Ahm0U	pseudo gene
1052	gene1052.1	MXYTA	pseudo gene
1053	gene1053.1	sOm2G	pseudo gene
1054	gene1054.1	L40iK	pseudo gene
1055	gene1055.1	lM50S	pseudo gene
1056	gene1056.1	l3xQ1	pseudo gene
1057	gene1057.1	U9EU5	pseudo gene
1058	gene1058.1	N2VUb	pseudo gene
1059	gene1059.1	gmBq3	pseudo gene
1060	gene1060.1	fvyxK	pseudo gene
1061	gene1061.1	ycIV1	pseudo gene
1062	gene1062.1	0f2y4	pseudo gene
1063	gene1063.1	7OgIL	pseudo gene
1064	gene1064.1	ZWue7	pseudo gene
1065	gene1065.1	Ab0Hh	pseudo gene
1066	gene1066.1	gBTfp	pseudo gene
1067	gene1067.1	jY1hN	pseudo gene
1068	gene1068.1	CNcle	pseudo gene
1069	gene1069.1	J3PdX	pseudo gene
1070	gene1070.1	CCJ9a	pseudo gene
1071	gene1071.1	QI1eX	pseudo gene
1072	gene1072.1	k0u4f	pseudo gene
1073	gene1073.1	jRF8z	pseudo gene
1074	gene1074.1	fa1cB	pseudo gene
1075	gene1075.1	YTd0J	pseudo gene
1076	gene1076.1	8yYwU	pseudo gene
1077	gene1077.1	j6hT3	pseudo gene
1078	gene1078.1	ntQ8H	pseudo gene
1079	gene1079.1	tgFIl	pseudo gene
1080	gene1080.1	8KPyo	pseudo gene
1081	gene1081.1	C8hMm	pseudo gene
1082	gene1082.1	d4vUy	pseudo gene
1083	gene1083.1	JmfLo	pseudo gene
1084	gene1084.1	mYd6j	pseudo gene
1085	gene1085.1	IRQSS	pseudo gene
1086	gene1086.1	yTjmD	pseudo gene
1087	gene1087.1	aKNgB	pseudo gene
1088	gene1088.1	RiXw4	pseudo gene
1089	gene1089.1	0poEn	pseudo gene
1090	gene1090.1	pekhs	pseudo gene
1091	gene1091.1	nJFG4	pseudo gene
1092	gene1092.1	lGm8G	pseudo gene
1093	gene1093.1	QA8Ff	pseudo gene
1094	gene1094.1	etk1r	pseudo gene
1095	gene1095.1	BzzUl	pseudo gene
1096	gene1096.1	ere3u	pseudo gene
1097	gene1097.1	FemW0	pseudo gene
1098	gene1098.1	wYgaf	pseudo gene
1099	gene1099.1	Gtz4t	pseudo gene
1100	gene1100.1	TPKjB	pseudo gene
1101	gene1101.1	bCHhF	pseudo gene
1102	gene1102.1	xUoKe	pseudo gene
1103	gene1103.1	Cxbbo	pseudo gene
1104	gene1104.1	QQTdX	pseudo gene
1105	gene1105.1	C42fP	pseudo gene
1106	gene1106.1	JAC5v	pseudo gene
1107	gene1107.1	MBa9P	pseudo gene
1108	gene1108.1	T7sYx	pseudo gene
1109	gene1109.1	6yWoI	pseudo gene
1110	gene1110.1	07HxO	pseudo gene
1111	gene1111.1	uwpkF	pseudo gene
1112	gene1112.1	LebZH	pseudo gene
1113	gene1113.1	d42eB	pseudo gene
1114	gene1114.1	DAAPx	pseudo gene
1115	gene1115.1	5DeOa	pseudo gene
1116	gene1116.1	8XKGh	pseudo gene
1117	gene1117.1	nd9FE	pseudo gene
1118	gene1118.1	gcyPR	pseudo gene
1119	gene1119.1	MkwJk	pseudo gene
1120	gene1120.1	rCaJM	pseudo gene
1121	gene1121.1	hjMep	pseudo gene
1122	gene1122.1	eHmL3	pseudo gene
1123	gene1123.1	p7nWh	pseudo gene
1124	gene1124.1	bFZPg	pseudo gene
1125	gene1125.1	Ke6J9	pseudo gene
1126	gene1126.1	CdKO3	pseudo gene
1127	gene1127.1	7T5Tt	pseudo gene
1128	gene1128.1	7NCCP	pseudo gene
1129	gene1129.1	NUGso	pseudo gene
1130	gene1130.1	UsCpv	pseudo gene
1131	gene1131.1	evdIo	pseudo gene
1132	gene1132.1	GfrO9	pseudo gene
1133	gene1133.1	F1UD8	pseudo gene
1134	gene1134.1	5aq0K	pseudo gene
1135	gene1135.1	CAh81	pseudo gene
1136	gene1136.1	SFOzW	pseudo gene
1137	gene1137.1	cuJOz	pseudo gene
1138	gene1138.1	DMueW	pseudo gene
1139	gene1139.1	sKWha	pseudo gene
1140	gene1140.1	1xkfA	pseudo gene
1141	gene1141.1	YqgYC	pseudo gene
1142	gene1142.1	HQyD5	pseudo gene
1143	gene1143.1	uHdgj	pseudo gene
1144	gene1144.1	aHHu5	pseudo gene
1145	gene1145.1	sZKDf	pseudo gene
1146	gene1146.1	KTUes	pseudo gene
1147	gene1147.1	pukpP	pseudo gene
1148	gene1148.1	N2R4u	pseudo gene
1149	gene1149.1	OOFSx	pseudo gene
1150	gene1150.1	fA7Rx	pseudo gene
1151	gene1151.1	hiUfO	pseudo gene
1152	gene1152.1	skMzS	pseudo gene
1153	gene1153.1	xfM51	pseudo gene
1154	gene1154.1	narbw	pseudo gene
1155	gene1155.1	RxDe3	pseudo gene
1156	gene1156.1	Aabj8	pseudo gene
1157	gene1157.1	GOs6r	pseudo gene
1158	gene1158.1	sxUeB	pseudo gene
1159	gene1159.1	C8XLN	pseudo gene
1160	gene1160.1	lekTo	pseudo gene
1161	gene1161.1	lWyKV	pseudo gene
1162	gene1162.1	0qQyz	pseudo gene
1163	gene1163.1	crlZo	pseudo gene
1164	gene1164.1	2EMqT	pseudo gene
1165	gene1165.1	9ASMy	pseudo gene
1166	gene1166.1	aVoQm	pseudo gene
1167	gene1167.1	9j0yl	pseudo gene
1168	gene1168.1	EUPka	pseudo gene
1169	gene1169.1	Lq6xs	pseudo gene
1170	gene1170.1	SbJzQ	pseudo gene
1171	gene1171.1	adZMP	pseudo gene
1172	gene1172.1	xyOq3	pseudo gene
1173	gene1173.1	WFobt	pseudo gene
1174	gene1174.1	zBNF9	pseudo gene
1175	gene1175.1	PARC0	pseudo gene
1176	gene1176.1	bgmgL	pseudo gene
1177	gene1177.1	KwKxl	pseudo gene
1178	gene1178.1	WN87g	pseudo gene
1179	gene1179.1	AR47g	pseudo gene
1180	gene1180.1	j9Ecf	pseudo gene
1181	gene1181.1	YHE21	pseudo gene
1182	gene1182.1	V50uq	pseudo gene
1183	gene1183.1	pCC5G	pseudo gene
1184	gene1184.1	84lXT	pseudo gene
1185	gene1185.1	FioLk	pseudo gene
1186	gene1186.1	LTX1z	pseudo gene
1187	gene1187.1	fUVNp	pseudo gene
1188	gene1188.1	12PAF	pseudo gene
1189	gene1189.1	LnG6o	pseudo gene
1190	gene1190.1	htc30	pseudo gene
1191	gene1191.1	qLaQd	pseudo gene
1192	gene1192.1	smvHK	pseudo gene
1193	gene1193.1	XAAxS	pseudo gene
1194	gene1194.1	zxa6V	pseudo gene
1195	gene1195.1	HJ6uR	pseudo gene
1196	gene1196.1	ALf64	pseudo gene
1197	gene1197.1	7dRaZ	pseudo gene
1198	gene1198.1	TySHr	pseudo gene
1199	gene1199.1	GnEMC	pseudo gene
1200	gene1200.1	Hh75N	pseudo gene
1201	gene1201.1	pgFu3	pseudo gene
1202	gene1202.1	ZIP1s	pseudo gene
1203	gene1203.1	kOsTD	pseudo gene
1204	gene1204.1	UilRd	pseudo gene
1205	gene1205.1	9T2bZ	pseudo gene
1206	gene1206.1	aZiRf	pseudo gene
1207	gene1207.1	5pcbb	pseudo gene
1208	gene1208.1	LgsrU	pseudo gene
1209	gene1209.1	PgjCl	pseudo gene
1210	gene1210.1	cUpxU	pseudo gene
1211	gene1211.1	QonyX	pseudo gene
1212	gene1212.1	4p2n6	pseudo gene
1213	gene1213.1	M6OuB	pseudo gene
1214	gene1214.1	ipexi	pseudo gene
1215	gene1215.1	dciNd	pseudo gene
1216	gene1216.1	aZjGa	pseudo gene
1217	gene1217.1	HTTZE	pseudo gene
1218	gene1218.1	uu0E6	pseudo gene
1219	gene1219.1	cBjaO	pseudo gene
1220	gene1220.1	cbGd7	pseudo gene
1221	gene1221.1	3h7lb	pseudo gene
1222	gene1222.1	Vj9Jc	pseudo gene
1223	gene1223.1	MGDI2	pseudo gene
1224	gene1224.1	AQ6Ca	pseudo gene
1225	gene1225.1	bHIoh	pseudo gene
1226	gene1226.1	ewscx	pseudo gene
1227	gene1227.1	UfQaH	pseudo gene
1228	gene1228.1	46fVl	pseudo gene
1229	gene1229.1	qufmF	pseudo gene
1230	gene1230.1	jGj1L	pseudo gene
1231	gene1231.1	qF1Xg	pseudo gene
1232	gene1232.1	ZqPaC	pseudo gene
1233	gene1233.1	yhTLG	pseudo gene
1234	gene1234.1	KOgH5	pseudo gene
1235	gene1235.1	m0Man	pseudo gene
1236	gene1236.1	PEfMO	pseudo gene
1237	gene1237.1	2JwQ2	pseudo gene
1238	gene1238.1	qaA8k	pseudo gene
1239	gene1239.1	pr1bD	pseudo gene
1240	gene1240.1	c57gt	pseudo gene
1241	gene1241.1	Sdj0B	pseudo gene
1242	gene1242.1	H0fZe	pseudo gene
1243	gene1243.1	pNEFw	pseudo gene
1244	gene1244.1	B8VHp	pseudo gene
1245	gene1245.1	3q5uC	pseudo gene
1246	gene1246.1	3DqYT	pseudo gene
1247	gene1247.1	LXS3m	pseudo gene
1248	gene1248.1	QGHok	pseudo gene
1249	gene1249.1	bFGKf	pseudo gene
1250	gene1250.1	xhPkZ	pseudo gene
1251	gene1251.1	4EAb8	pseudo gene
1252	gene1252.1	EBIT9	pseudo gene
1253	gene1253.1	4Svrp	pseudo gene
1254	gene1254.1	Rz1Dx	pseudo gene
1255	gene1255.1	jN5Pb	pseudo gene
1256	gene1256.1	dEore	pseudo gene
1257	gene1257.1	pcE76	pseudo gene
1258	gene1258.1	tTlGL	pseudo gene
1259	gene1259.1	Rh539	pseudo gene
1260	gene1260.1	nk6Wy	pseudo gene
1261	gene1261.1	qnV6g	pseudo gene
1262	gene1262.1	dKEIq	pseudo gene
1263	gene1263.1	0tVYG	pseudo gene
1264	gene1264.1	Dt1TQ	pseudo gene
1265	gene1265.1	BhscN	pseudo gene
1266	gene1266.1	Eylnk	pseudo gene
1267	gene1267.1	YVUdp	pseudo gene
1268	gene1268.1	WhkJh	pseudo gene
1269	gene1269.1	vOPkb	pseudo gene
1270	gene1270.1	3n0oA	pseudo gene
1271	gene1271.1	rwuPB	pseudo gene
1272	gene1272.1	3XBko	pseudo gene
1273	gene1273.1	Hp3MP	pseudo gene
1274	gene1274.1	ZtjoS	pseudo gene
1275	gene1275.1	6QjRi	pseudo gene
1276	gene1276.1	XE5Oj	pseudo gene
1277	gene1277.1	UnHXN	pseudo gene
1278	gene1278.1	X2ZPj	pseudo gene
1279	gene1279.1	qljHc	pseudo gene
1280	gene1280.1	L7mWc	pseudo gene
1281	gene1281.1	9zxbM	pseudo gene
1282	gene1282.1	Pn53Q	pseudo gene
1283	gene1283.1	w2B8q	pseudo gene
1284	gene1284.1	XObQ8	pseudo gene
1285	gene1285.1	cKBx5	pseudo gene
1286	gene1286.1	zyygE	pseudo gene
1287	gene1287.1	scUzC	pseudo gene
1288	gene1288.1	8UEHC	pseudo gene
1289	gene1289.1	plZNx	pseudo gene
1290	gene1290.1	Xx3TO	pseudo gene
1291	gene1291.1	RdDb2	pseudo gene
1292	gene1292.1	tyLhm	pseudo gene
1293	gene1293.1	ffl6E	pseudo gene
1294	gene1294.1	81Mmg	pseudo gene
1295	gene1295.1	RYotC	pseudo gene
1296	gene1296.1	ifgHr	pseudo gene
1297	gene1297.1	FCQQ9	pseudo gene
1298	gene1298.1	YF2xd	pseudo gene
1299	gene1299.1	grWZz	pseudo gene
1300	gene1300.1	cUyGP	pseudo gene
1301	gene1301.1	BQg7Z	pseudo gene
1302	gene1302.1	4zqxY	pseudo gene
1303	gene1303.1	jbFfb	pseudo gene
1304	gene1304.1	e932D	pseudo gene
1305	gene1305.1	CNgLP	pseudo gene
1306	gene1306.1	aBQrR	pseudo gene
